question,reply
السلام عليكم ..والدي متوفي وسمعت بعض الشيوخ تقول ان الحج فرض على الانسان الحي والميت ..هل الحج فرض ام مستحب بدليل قوله تعالى (من استطاع اليه سبيلا) في حال فرض هل هناك ايه قرانيه او احاديث بهذا الشان؟؟  وفي حال فرض هل اقدر ان اعطي مبلغ لاحد الاخوه ويحج عنه؟؟ وبارك الله فيكم,"عليكم السلام ..
الحج واجب على كل مسلم ومسلمة ولكن مشروط بالاستطاعة فالميت اذا كان مستطيعا للحج في حياته ولم يحج وجب اخراج تكاليف الحج نيابة عنه من تركته وتفرغ ذمته بالحج نيابة عنه"
هل يجوز لي الحج إذا كانت عندي صلوات عليي قضاؤها؟ وهل يكون الحج صحيحا؟,"السلام عليكم 
 نعم يصحّ الحج"
شروط حج,"يجب الحج عند توفر شروط التالية:
البلوغ: ان وجوب الحجّ مقيّد بالبلوغ ولا يجب الحجّ على غير البالغ،
العقل: فالمجنون لا يجب عليه الحج ولا يصح منه.
الحرية: فلا يجب الحجّ على المملوك وإن كان مستطيعاً ومأذوناً من قبل مولاه.
الاستطاعة: الاستطاعة شرط لوجوب الحج. ویقصد منه الاستطاعة من حيث صحة البدن وقوته، وتوفر المال، وتخلية السرب وسلامته، وسعة الوقت وكفايته وغيرها من الشروط المذكوره في الكتب الفقهية"
"السلام عليكم 
بخصوص الحج
 يوجد شخص يرغب بالتنازل عن حصته في الحج بمبلغ (٦٠ ) ورقة دولار 
هل يجوز دفع هذا المبلغ والذهاب الى الحج ؟","عليكم السلام ورحمة الله 
يجوز في مفروض السؤال"
"سلام عليكم
امي طلع اسمها للحج وما عدها المبلغ الكافي للذهاب .. هل يجوز تبيع اسمها وتزوج ابنها بالمبلغ.","وعليكم السلام ورحمة الله وبركاته 
حسب الفرض لا يجب عليها الحج   إذا لم تكن مستطيعة مالياً 
ويجوز لها تنازل  عن حقها مقابل مبلغ من المال إذا سمح القانون"
إنني ولله الحمد أوفق دائماً للذهاب إلى الحج أحيانا نيابة وأحيانا لنفسي والحكومة السعودية تعطي تراخيص لكل شخص حجة كل خمس سنوات وأنا أذهب من دون ترخيص وكل عام تختلف الطرق من الدخول لمكة قبل يجزي ان نحل من الاحرام قبل نقطة التفتيش اذا تيقنا بانهم سوف يمنعونا من دخول مكة بالاحرام؟ وهل علينا كفارة لذلك؟,يجوز الاحرام للحج النيابي وإن علم أنه سيضطر الى لبس المخيط والاستظلال المحرم ولكن تثبت عليه الكفارة على الاحوط علماً إنا لا نرخص في مخالفة الضوابط المنظمة لموسم الحج وفق ما تقتضيه مصلحة الحجاج إذا كانت العدالة تراعي في تطبيقها.
ما حكم حجي هذا العام حيث انطلقت الي زيارة المدينة المنورة ثم احرمت من مسجد الشجرة ثم منعت من دخول مكة ؟ ومنعت من العودة الي المدينة ؟ واضطررت الي العودة الي بلدي اجبارا ؟,يحصل التحلل من الإحرام (بعد الصد وعدم التمكن من الدخول) بذبح الهدي والاحوط ضمّ التقصير إليه. والله الموفق.
السلام عليكم اخي توفى عن عمر ٣٨ سنه وكان يملك بيت وسياره سؤالي هل الحج واجب عليه يعني الورثه يسمح لهم اداء الحج عنه علما هو لم يترك وصيه؟,"عليكم السلام 
يمكن لورثته الحج عنه نيابةً وليس معلوم ان من يملك بيت وسيارة يجب عليه الحج فيختلف ."
إذا استؤجر للحجّ البلدي فلما وصل إلى المدينة المنورة أحرم من مسجد الشجرة للعمرة المفردة لنفسه وبعد الإتيان بها رجع إلى المدينة وأحرم ثانية للحجّ المستأجر عليه فهل يكون بذلك قد أدى ما عليه من الحجّ البلدي؟,لا مانع من ذلك ولا يضر بحجّه النيابي .
مَن اراد السفر الى الحج وعليه دَين وصاحب الدين مسجون ولايستطيع طلب إبراء الذمة منه فماذا يفعل بالدين الذي في رقبته؟,اذا كان ما لديه يزيد عن قيمة الدَين بمقدار يفي بنفقة الحج ولايحتاج إليه في مؤونته بحيث يقع في الحرج والمشقة لو صرفه في الحج فيجب عليه الحج ويؤدّي دينه بعد رجوعه .
"السلام عليكم
زوجي يملك مال وفير وهو تاجر ولقد عشت معه 20 سنة اكثرها في ضيم وقهر وبخل واذية نفسية وجسدية
والآن كبرت وأريد احج حجة الاسلام وهو قادر أن يعطيني أحج تجاري ولكن يرفض
لقد افنيت عمري شبابي طاقتي طاعة وخدمة له وهو سيئ الخلق معي
السؤال هل يجوز لي أن ازعل واذهب إلى بيت أهلي واشرط على زوجي ما ارجع للبيت إلا أن يدفع لي مقدار الحج التجاري
أنا تعبت زوجي هاملني محتقرني مأذيني
مسؤلية الاولاد تدريس تعليم الصلاة احكام الدين كله على عاتقي
إلا يحق لي أن اطالبه بمبلغ الحج التجاري
جسمي تعب نفسيتي تعبت","وعليكم السلام ورحمة الله وبركاته 
الاخت المحترمة:- إن شاء الله تعالى مّا فعلتيه طيلة حياتك من الصبر والمحافظة على التدين والالتزام بالوظيفة الشرعية وتنشأة أبنائك نشأةً صالحة كل ذلك بعين الله ولك الأجر والثواب عليه، ولكن أعلمي أن ما يجب على الزوج هو أن ينفق عليك بالمأكل والملبس والمسكن كل ذلك ممّا يليق بشأنك بالنسبة اليه، وأمّا الذهاب للحج خصوصاً التجاري فلا أنت مستطيعة لنقول واجب عليك فهو ليس بواجب عليك ولا هو يجب عليه أن يدفع مكانك ما يكفيك لأداء فريضة الحج، نعم اطلبي منه ان يتبرع لك بنفقات الحج عسى ان يقبل بذلك. فلا يجوز لك الخروج من بيته دون علمه ولا يسوغ لك الخروج فيما لو قصّر معك فيما يجب عليه فضلاً عمّا إذا لم يكن واجباً عليه، نعم إن قصّر في الضروري من نفقتك فلك في ذمته مقدار ما قصّر به من المال فتجوز لك مطالبته به لأنه دين في ذمته، فبعد أخذه وكان يفي في مصارف الحج وجب عليك وجاز لك الخروج إلى الحج حتى وإن لم يأذن."
لقد وفقت هده السنة في الدهاب إلى الحج ، وقد راودني شعور قبل الدهاب للحج – وأنا أعد نفسيتي للحج – هو أنه ما الفائدة من كل دلك ؟.. فإن أيام الحج محدودة وسوف أرجع إلى هده الدنيا بكل مغرياتها مرة أخرى ، وسوف يدهب كل ما استقيته من الحج هباء !!.. وأثناء الحج راحت من نفسي كل تلك الوساوس ، والآن في هده الأيام أشعر بصراع شديد في نفسي ، ومجمل هدا الصراع : أنني لم يبق في نفسي أي أثر لما نلته من الحج ، وأن دنوبي لم يغفرها الله لي في الحج ، لأنه يعلم أنني سأرجع لهده الدنيا وأعيشها مثلما كنت ، وتتملكني حسرة شديدة جدا واصل إلى حالة بكاء شديد ، فهل ما أنا فيه طبيعي ؟ وبم تنصحني ؟,اكبرت فيكم اولا هذا الاحساس ، فان هذا الامر لا يصدر الا من المراقبين لانفسهم ، والذين لا يكتفون بما يحصلون عليه من المنح المؤقته .. فان الكثير ينغر بما يعطى فى موسم الحج ، وكانه عطاء لا يزول ، والحال ان الحالات الايجابية من عطاءات الله تعالى ما دام العبد فى ضيافته ، ولازم ذلك هو سلب درجة منها بعد العود .. ان على العبد الذى يتعرض للنفحات الخاصة : ان لا يكفر بتلك النعمة من خلال ارتكاب المعاصى ، فانها قاصمة للظهر بعد تلك النفحات لانه يعد استخفافا بمنزلة المولى .. ومن هنا نرى الادبار الشديد بعد موسم النفحات ، للذين لا يعطونها حقا .. واكرر انه لا نعلم سبيلا للنجاة فى هذا العصر وفى كل عصر ، الا بالالتفات التام للحواس بل الخوطر ، فان الشيطان على ابواب تلك المنافذ عسى ان يرى بغيته فى العبد .
"السلام عليكم ورحمة الله وبركاته
اني موضف لكن ستوني تعينت
واريد اشتري سيارة توصلني الى مكان العمل
وعندي مبلغ بسيط اما احج او اشتري السيارة علما اني لم اقدم لحد الان ع الحج ولم يضهر اسمي ولدي ثقة في تأدية الحج لاحقا بعد الشراء ان شاء الله تعالى","وعليكم السلام ورحمة الله وبركاته
إن كان صرف ذلك المال في الحجّ موجباً لوقوعك في الحرج لم يجب عليك الحجّ، وإلاّ وجب عليك."
"السلام عليكم
سيدنا اذا المرأة اثناء الحج حاضت فما هو حكم الحج وهل يبطل وماذا يترتب عليها ؟.
والسلام ختام","وعليكم السلام 
يوجد تفصيل .. فمتى حاضت ومتى طهرت و هل ادت الاعمال بنفسها ام استنابت"
"السلام عليكم 
هل يجوز للزوج منع زوجته من الذهاب للحج
علما انها وجدت مقعد مع والديها كمرافق لهما
وهي ربة بيت لكن لديها قطعة أرض باسمها","عليكم السلام ورحمة الله وبركاته

اذا تهيئت لها سبل الحج وصارت مستطيعة له لم يجز للزوج منعها من الحج."
اسمي طلع بقرعة الحج واريد انطي لامي تروح ابدالي وزوجي رافض.. هل انا اثمه..,"السلام عليكم ورحمة الله وبركاته 

إن كنت مستطيعة فلا يجوز لك تفويت ذلك بإعطاء الحق لغيرك ، نعم إن لم تكوني مستطيعة جاز لك أن تعطيه لمن تشائين ."
"السلام عليكم ورحمة الله وبركاته 
جدّتي ذهبت لحج بيت الله تعالى , وأثناء الطريق توفيت بمدينة رسول الله - ص - فهل تحستب الحجة لها أو لا , وإذا ابنها اراد أن يعمل لها نيابة عنها عن طريق شخصٍ يعطي أموال وهو يحج نيابةً عنه , فهل يجوز ذلك ؟","سلام عليكم ورحمة الله وبركاته
مع كونها ماتت قبل ان تحرم فلا تحسب لها الحجة ويجوز دفع المال لشخص لينوب عنها"
السلام عليكم ،الوالده تريد الذهاب للحج ولا يوجد محرم غير زوج اختها وخالتي هل يجوز أن تذهب معه,"عليكم السلام 
لا يشترط وجود المحرم إذا أمنت على نفسها في السفرإلى الحج."
"السلام عليكم ورحمة الله وبركاته 
اسمي في الحج هذا العام ان شاء الله 
اذا أديت عمرة الحج وبقي أيام قبل مراسم الحج هل يمكنني العمرة استحبابا واهداءها الى الائمة صلوات الله عليهم أو امواتنا 
وفقكم الله","وعليكم السلام 
لا يجوز الاتيان بالعمرة المفردة بين عمرة التمتع والحج"
خالي نائب من مجلس النواب واعطوا مقعدين للحج هذه السنة ضمن الامتيازات التي يتمتعون بها ،واعطى مقعد من المقعدين لامي فهل يجوز الذهاب به؟ وهل تتحقق الحجة لها؟ وهل يوجد أشكال شرعي في هذه المقاعد؟,"السلام عليكم ورحمة الله وبركاته
يجوز ذلك وتعتبر حجة الاسلام إذا كانت مستطيعة ولو بذل نفقة الحج لها عن طريق أحد المؤمنين. 

دمتم برعاية اللَّه"
"السلام عليكم ورحمة الله وبركاته. 
كم مرة على الشخص أن يعتمر لتعادل حجة؟","عليكم السلام ورحمة الله 
تستحب العمرة في كل شهر ولاتجزي عن الحج"
